PackageName,CleanName,PocetSezeni,CelkovaCena,CenaZaSezeni,Delka_min,Sleva,ShortDesc
"Endos-roller 1 partie břicho, zadek, nohy (45 minut)","Endos-roller 1 partie břicho, zadek, nohy",1,1050,1050,45,0,
"Endos-roller 2 břicho / ruce, nohy / zadek (60 minut)","Endos-roller 2 břicho / ruce, nohy / zadek",1,1500,1500,60,0,
Endos-roller balíček 6 ošetření celé tělo – sleva 10 %,Endos-roller celé tělo,6,10260,1710,60,10,
Endos-roller balíček 10 ošetření celé tělo – sleva 15 %,Endos-roller celé tělo,10,16150,1615,60,15,
Endos-roller obličej a dekolt (30 minut),Endos-roller obličej a dekolt,1,600,600,30,0,
Endos-roller obličej a dekolt balíček 6 ošetření – sleva 10 %,Endos-roller obličej a dekolt,6,3240,540,60,10,
Endos-roller obličej balíček a dekolt 10 ošetření – sleva 15 %,Endos-roller obličej balíček a dekolt 10 ošetření,10,5100,510,60,15,
Endos-roller ruce (45 minut),Endos-roller ruce,1,850,850,45,0,
Endos-roller balíček 5 ošetření za 1 partii – sleva 10 %,Endos-roller za 1 partii,5,4725,945,60,10,
Endos-roller balíček 10 ošetření za 1 partii – sleva 15 %,Endos-roller za 1 partii,10,8925,892,60,15,
Endos-roller – celé tělo (75 minut) skvělý na rozjetí celého lymfatického systému,Endos-roller – celé tělo,1,1900,1900,75,0,skvělý na rozjetí celého lymfatického systému
