PackageName,CleanName,PocetSezeni,Sleva,ShortDesc
"Endos-roller 1 partie břicho, zadek, nohy (45 minut)","Endos-roller 1 partie břicho, zadek, nohy",1,0,
"Endos-roller 2 břicho / ruce, nohy / zadek (60 minut)","Endos-roller 2 břicho / ruce, nohy / zadek",1,0,
Endos-roller balíček 10 ošetření celé tělo – sleva 15 %,Endos-roller celé tělo,10,15,
Endos-roller balíček 10 ošetření za 1 partii – sleva 15 %,Endos-roller za 1 partii,10,15,
Endos-roller balíček 5 ošetření za 1 partii – sleva 10 %,Endos-roller za 1 partii,5,10,
Endos-roller balíček 6 ošetření celé tělo – sleva 10 %,Endos-roller celé tělo,6,10,
Endos-roller obličej a dekolt (30 minut),Endos-roller obličej a dekolt,1,0,
Endos-roller obličej a dekolt balíček 6 ošetření – sleva 10 %,Endos-roller obličej a dekolt,6,10,
Endos-roller obličej balíček a dekolt 10 ošetření – sleva 15 %,Endos-roller obličej balíček a dekolt 10 ošetření,10,15,
Endos-roller ruce (45 minut),Endos-roller ruce,1,0,
Endos-roller – celé tělo (75 minut) skvělý na rozjetí celého lymfatického systému,Endos-roller – celé tělo,1,0,skvělý na rozjetí celého lymfatického systému
