category,subcategory,service_type,name,short_description,description,duration_in_minutes,session,price_in_czk,benefits,image
Kosmetika,Ošetření pleti,single,Hydratační ošetření pleti,Profesionální hydratační ošetření pleti pro viditelné zlepšení. Intenzivní hydratace. Délka: 60 min.,"Hydratační ošetření pleti je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Intenzivní hydratace
• zklidnění pleti
• obnova pružnosti
• zdravý vzhled

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu.",60,1,1150,"Intenzivní hydratace, zklidnění pleti, obnova pružnosti, zdravý vzhled","kosmetika/hydratational-1.jpg, kosmetika/hydratational-10.jpg, kosmetika/hydratational-11.jpg, kosmetika/hydratational-12.jpg, kosmetika/hydratational-13.jpg"
Kosmetika,Anti-age péče,single,Anti-age ošetření s kolagenem,Profesionální anti-age ošetření s kolagenem pro viditelné zlepšení. Redukce vrásek. Délka: 60 min.,"Anti-age ošetření s kolagenem je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Redukce vrásek
• zpevnění pleti
• lifting efekt
• stimulace kolagenu

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu.",60,1,1350,"Redukce vrásek, zpevnění pleti, lifting efekt, stimulace kolagenu","kosmetika/anti-age.jpeg, kosmetika/Kosmetika Detail 2.jpeg, kosmetika/Kosmetika Detail.jpeg, kosmetika/depilace-1.jpg"
Kosmetika,Ošetření pleti,single,Ošetření rozšířených pórů,Profesionální ošetření rozšířených pórů pro viditelné zlepšení. Stažení pórů. Délka: 60 min.,"Ošetření rozšířených pórů je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Stažení pórů
• regulace mazu
• vyčištění pleti
• jemnější textura

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu.",60,1,1350,"Stažení pórů, regulace mazu, vyčištění pleti, jemnější textura","kosmetika/Kosmetika Detail 2.jpeg, kosmetika/Kosmetika Detail.jpeg, kosmetika/anti-age.jpeg, kosmetika/depilace-1.jpg, kosmetika/depilace-2.jpg"
Kosmetika,Ošetření pleti,single,Ošetření problematické pleti,Profesionální ošetření problematické pleti pro viditelné zlepšení. Dezinfekce. Délka: 60 min.,"Ošetření problematické pleti je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Dezinfekce
• zklidnění zánětů
• prevence akné
• rychlejší hojení

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu.",60,1,1350,"Dezinfekce, zklidnění zánětů, prevence akné, rychlejší hojení","kosmetika/Kosmetika Detail 2.jpeg, kosmetika/Kosmetika Detail.jpeg, kosmetika/anti-age.jpeg, kosmetika/depilace-1.jpg, kosmetika/depilace-2.jpg"
Kosmetika,Ošetření pleti,single,Zklidňující ošetření pleti s propolisem,Profesionální zklidňující ošetření pleti s propolisem pro viditelné zlepšení. Zklidnění citlivé pleti. Délka: 60 min.,"Zklidňující ošetření pleti s propolisem je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Zklidnění citlivé pleti
• antibakteriální účinek
• posílení kožní bariéry
• přirozené hojení

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu.",60,1,1490,"Zklidnění citlivé pleti, antibakteriální účinek, posílení kožní bariéry, přirozené hojení","kosmetika/skin-calming-with-propolis1.jpg, kosmetika/skin-calming-with-propolis2.jpg, kosmetika/skin-calming-with-propolis3.jpg, kosmetika/skin-calming-with-propolis4.jpg, kosmetika/skin-calming-with-propolis5.jpg"
Kosmetika,Anti-age péče,single,Premium ošetření s kyselinou hyaluronovou,Profesionální premium ošetření s kyselinou hyaluronovou pro viditelné zlepšení. Hloubková hydratace. Délka: 60 min.,"Premium ošetření s kyselinou hyaluronovou je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Hloubková hydratace
• vyplnění vrásek
• lifting efekt
• dlouhodobá pružnost

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu.",60,1,1700,"Hloubková hydratace, vyplnění vrásek, lifting efekt, dlouhodobá pružnost","kosmetika/Kosmetika Detail 2.jpeg, kosmetika/Kosmetika Detail.jpeg, kosmetika/anti-age.jpeg, kosmetika/depilace-1.jpg"
Kosmetika,Pokročilé procedury,single,Dermapen mikrojehličkování – Pleť,Profesionální dermapen mikrojehličkování – pleť pro viditelné zlepšení. Stimulace kolagenu. Délka: 60 min.,"Dermapen mikrojehličkování – Pleť je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Stimulace kolagenu
• redukce jizev
• vyhlazení vrásek
• zlepšení textury

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu.",60,1,1800,"Stimulace kolagenu, redukce jizev, vyhlazení vrásek, zlepšení textury","kosmetika/Kosmetika Detail 2.jpeg, kosmetika/Kosmetika Detail.jpeg, kosmetika/anti-age.jpeg, kosmetika/depilace-1.jpg, kosmetika/depilace-2.jpg"
Kosmetika,Pokročilé procedury,single,Dermapen mikrojehličkování – Rty,Profesionální dermapen mikrojehličkování – rty pro viditelné zlepšení. Přirozený objem rtů. Délka: 60 min.,"Dermapen mikrojehličkování – Rty je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Přirozený objem rtů
• vyhlazení vrásek
• konturování
• stimulace kolagenu

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu.",60,1,700,"Přirozený objem rtů, vyhlazení vrásek, konturování, stimulace kolagenu","kosmetika/Kosmetika Detail 2.jpeg, kosmetika/Kosmetika Detail.jpeg, kosmetika/anti-age.jpeg, kosmetika/depilace-1.jpg, kosmetika/depilace-2.jpg"
Kosmetika,Obočí a řasy,single,Barvení obočí,Profesionální barvení obočí pro viditelné zlepšení. Zvýraznění obličeje. Délka: 15 min.,"Barvení obočí je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Zvýraznění obličeje
• přirozený vzhled
• dlouhodobý efekt
• úspora času

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 15 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu.",15,1,200,"Zvýraznění obličeje, přirozený vzhled, dlouhodobý efekt, úspora času","kosmetika/Kosmetika Detail 2.jpeg, kosmetika/Kosmetika Detail.jpeg, kosmetika/anti-age.jpeg, kosmetika/depilace-1.jpg, kosmetika/depilace-2.jpg"
Kosmetika,Obočí a řasy,single,Barvení řas,Profesionální barvení řas pro viditelné zlepšení. Výrazný pohled. Délka: 15 min.,"Barvení řas je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Výrazný pohled
• přirozený vzhled
• úspora času
• vhodné pro citlivé oči

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 15 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu.",15,1,200,"Výrazný pohled, přirozený vzhled, úspora času, vhodné pro citlivé oči","kosmetika/rasy-1.jpg, kosmetika/rasy-2.jpg, kosmetika/rasy-3.jpg, kosmetika/rasy1.jpg, kosmetika/rasy10.jpg"
